Provider.ID,Hospital.Name,Measure.ID,Gastrointestinal,Eye,Nervous.System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Measure.Start.Date,Measure.End.Date,lat,lon
10001,SOUTHEAST ALABAMA MEDICAL CENTER,OP-26,100,306,198,1399,513,1209,8,01/01/2013,12/31/2013,31.21537937900007,85.36146587999997
10005,MARSHALL MEDICAL CENTERS,OP-26,3473,116,1047,1023,5862,279,281,01/01/2013,12/31/2013,34.221334555000055,86.15937514699993
10006,ELIZA COFFEE MEMORIAL HOSPITAL,OP-26,5470,0,61,192,53,281,919,01/01/2013,12/31/2013,34.795039605000056,87.68507485399994
10007,MIZELL MEMORIAL HOSPITAL,OP-26,403,94,0,10,21,26,15,01/01/2013,12/31/2013,31.292159523000066,86.25539902199995
10008,CRENSHAW COMMUNITY HOSPITAL,OP-26,239,0,0,0,17,0,0,01/01/2013,12/31/2013,31.693116349000036,86.26549482999997
10011,ST. VINCENT'S EAST,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,33.59526551700003,86.66531866799994
10012,DEKALB REGIONAL MEDICAL CENTER,OP-26,1904,113,456,365,731,37,149,01/01/2013,12/31/2013,34.44060759100006,85.75726760699996
10016,SHELBY BAPTIST MEDICAL CENTER,OP-26,3393,0,112,1325,1567,552,278,01/01/2013,12/31/2013,33.25442932200008,86.81407933399998
10018,CALLAHAN EYE HOSPITAL,OP-26,0,6036,0,0,260,0,0,01/01/2013,12/31/2013,33.503140150000036,86.80242858299994
10019,HELEN KELLER HOSPITAL,OP-26,1994,424,775,426,1204,552,102,01/01/2013,12/31/2013,34.74643089500006,87.69893502799994
10021,DALE MEDICAL CENTER,OP-26,283,0,111,120,28,69,5,01/01/2013,12/31/2013,31.451350713000068,85.63094293699999
10022,CHEROKEE MEDICAL CENTER,OP-26,328,121,98,0,4,0,3,01/01/2013,12/31/2013,34.16275020900002,85.64348979299996
10023,BAPTIST MEDICAL CENTER SOUTH,OP-26,228,278,88,432,376,327,591,01/01/2013,12/31/2013,32.32718605800005,86.27659061099996
10024,JACKSON HOSPITAL & CLINIC INC,OP-26,914,31,192,438,80,674,554,01/01/2013,12/31/2013,32.36658118200006,86.28577143999996
10029,EAST ALABAMA MEDICAL CENTER AND SNF,OP-26,2595,941,1737,1246,1727,819,1942,01/01/2013,12/31/2013,32.63808805900004,85.40445272799997
10032,WEDOWEE HOSPITAL,OP-26,27,0,0,0,0,0,0,01/01/2013,12/31/2013,33.31155057800004,85.48497697399995
10033,UNIVERSITY OF ALABAMA HOSPITAL,OP-26,4332,0,24,862,173,681,2066,01/01/2013,12/31/2013,33.50902324400005,86.79972854499994
10034,COMMUNITY HOSPITAL INC,OP-26,716,45,35,102,6,9,6,01/01/2013,12/31/2013,32.534927776000075,85.90985375199995
10035,CULLMAN REGIONAL MEDICAL CENTER,OP-26,1923,1333,1640,574,94,574,83,01/01/2013,12/31/2013,34.19859606700004,86.80404845899994
10036,ANDALUSIA REGIONAL HOSPITAL,OP-26,366,99,87,260,935,109,36,01/01/2013,12/31/2013,31.297978657000044,86.49481434799998
10038,STRINGFELLOW MEMORIAL HOSPITAL,OP-26,1697,72,82,199,76,84,129,01/01/2013,12/31/2013,33.667678057000046,85.83426678999996
10039,HUNTSVILLE HOSPITAL,OP-26,17809,1122,45902,16190,13426,7231,3225,01/01/2013,12/31/2013,34.72108061800003,86.58128515799996
10040,GADSDEN REGIONAL MEDICAL CENTER,OP-26,2231,0,800,740,106,421,253,01/01/2013,12/31/2013,34.00938024200008,85.96778839099994
10044,MARION REGIONAL MEDICAL CENTER,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,34.12668982400004,87.98987352799998
10045,FAYETTE MEDICAL CENTER,OP-26,356,212,20,18,331,21,16,01/01/2013,12/31/2013,33.70769618400004,87.82377536299998
10046,RIVERVIEW REGIONAL MEDICAL CENTER,OP-26,3883,0,17,1158,664,272,1295,01/01/2013,12/31/2013,34.00337850600005,86.00409109099996
10047,GEORGIANA MEDICAL CENTER,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,31.636361081000075,86.74277274699995
10049,MEDICAL CENTER ENTERPRISE,OP-26,998,27,91,251,62,33,30,01/01/2013,12/31/2013,31.318719619000035,85.85572776899994
10051,GREENE COUNTY HEALTH SYSTEM,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,32.84235320400006,87.89002235799995
