X Y
10.10159 2.478088
2.80235 2.286451
5.521145 0.5462781
1.534903 0.7203416
6.323814 2.047419
10.43393 3.307541
5.022323 0.8841004
10.06596 2.20726
4.049402 3.095286
2.583829 1.343492
0.4121207 3.129876
11.50794 2.53891
7.784809 2.629232
12.06664 0.9142053
9.366001 0.9106563
7.486396 3.314918
9.96842 2.171839
0.7262448 2.47486
0.06727771 3.518559
11.70543 1.921
2.344491 1.026047
1.864419 0.3450269
8.03057 2.007187
5.755428 0.6962086
5.725869 0.9064033
8.319502 1.483685
3.835314 3.204383
10.42218 3.258453
0.02667842 3.442436
3.113918 2.848734
8.867927 0.7135417
5.499332 0.2907786
1.684584 0.3989308
4.980389 0.8175767
8.887146 0.337739
7.878759 2.684426
6.616313 2.784855
8.434511 0.8900704
9.269129 0.7084464
10.68672 3.625378
5.593324 0.7173954
1.072628 1.517966
7.907331 2.438307
10.98356 3.470529
4.6977 1.653318
3.173197 3.171964
0.4907588 2.939081
8.379902 1.188663
7.300129 3.278692
8.627857 0.7391203
5.989403 0.9906562
7.23272 3.610227
5.950587 1.126521
7.973583 1.921592
6.757765 2.912682
5.483582 0.5546194
5.551718 0.6173865
2.275229 1.035233
7.375151 3.29664
9.525687 1.123799
1.352859 0.8253751
4.468069 2.077106
0.7395207 2.938084
6.804047 3.254565
0.9933121 1.694284
11.25797 2.830448
1.891757 0.4274594
11.22954 2.955984
0.4605155 2.821112
9.920294 1.873425
1.723703 0.2667618
8.54499 0.9317351
4.657789 1.557354
6.652152 2.971085
12.56154 0.6162701
4.34132 2.399108
11.2883 3.023996
7.16779 3.585964
5.588945 0.5074602
0.372681 3.123303
8.14883 1.586512
12.37116 0.5652039
10.66228 3.533148
2.980719 2.790348
3.637551 3.504326
4.080653 2.959033
0.805897 2.1749
11.97692 1.134123
9.542787 0.9498024
8.542622 0.8251286
4.452272 2.378796
9.084277 0.6872466
4.110553 2.740426
7.257441 3.482243
12.02973 1.188602
1.430419 0.7438534
7.066826 3.382882
6.998626 3.467291
5.393409 0.9099003
10.99297 3.368041
