voltage	dphasevolume	salinity	temperature	timedelay	concentration	spantriton	solidparticles
0.64	40	1	4	0.25	2	0.25	0.5
0.8	80	1	4	0.25	4	0.25	2
3.2	40	4	4	0.25	4	0.75	0.5
0.48	80	4	4	0.25	2	0.75	2
1.72	40	1	23	0.25	4	0.75	2
0.32	80	1	23	0.25	2	0.75	0.5
0.64	40	4	23	0.25	2	0.25	2
0.68	80	4	23	0.25	4	0.25	0.5
0.12	40	1	4	24	2	0.75	2
0.88	80	1	4	24	4	0.75	0.5
2.32	40	4	4	24	4	0.25	2
0.4	80	4	4	24	2	0.25	0.5
1.04	40	1	23	24	4	0.25	0.5
0.12	80	1	23	24	2	0.25	2
1.28	40	4	23	24	2	0.75	0.5
0.72	80	4	23	24	4	0.75	2
1.08	0	0	0	0	0	0	0
1.08	0	0	0	0	0	0	0
1.04	0	0	0	0	0	0	0
