STNAME,YCOORD,XCOORD,CNTYNAME
Alabama,32.498,-86.5091,Autauga County
Alabama,30.5808,-87.7693,Baldwin County
Alabama,31.8531,-85.2966,Barbour County
Alabama,33.0219,-87.1266,Bibb County
Alabama,33.9657,-86.5775,Blount County
Alabama,32.111,-85.7004,Bullock County
Alabama,31.7678,-86.6593,Butler County
Alabama,33.7207,-85.8192,Calhoun County
Alabama,32.8627,-85.2654,Chambers County
Alabama,34.1768,-85.6303,Cherokee County
Alabama,32.8683,-86.6858,Chilton County
Alabama,32.0259,-88.2617,Choctaw County
Alabama,31.6835,-87.8185,Clarke County
Alabama,33.2695,-85.8221,Clay County
Alabama,33.6221,-85.5059,Cleburne County
Alabama,31.3558,-85.917,Coffee County
Alabama,34.7242,-87.6897,Colbert County
Alabama,31.4177,-86.9908,Conecuh County
Alabama,32.9819,-86.1508,Coosa County
Alabama,31.2818,-86.4109,Covington County
Alabama,31.7372,-86.2965,Crenshaw County
Alabama,34.1637,-86.8295,Cullman County
Alabama,31.3836,-85.6475,Dale County
Alabama,32.401,-87.0363,Dallas County
Alabama,34.4636,-85.8045,DeKalb County
Alabama,32.5652,-86.2042,Elmore County
Alabama,31.0825,-87.2724,Escambia County
Alabama,34.0153,-86.0245,Etowah County
Alabama,33.7224,-87.7724,Fayette County
Alabama,34.4552,-87.8098,Franklin County
Alabama,31.0929,-85.8035,Geneva County
Alabama,32.8292,-87.9252,Greene County
Alabama,32.7644,-87.6263,Hale County
Alabama,31.4891,-85.2682,Henry County
Alabama,31.2072,-85.3808,Houston County
Alabama,34.7373,-85.9416,Jackson County
Alabama,33.5222,-86.8214,Jefferson County
Alabama,33.7661,-88.1069,Lamar County
Alabama,34.8625,-87.6144,Lauderdale County
Alabama,34.5541,-87.2814,Lawrence County
Alabama,32.602,-85.3784,Lee County
Alabama,34.8219,-86.9603,Limestone County
Alabama,32.1529,-86.6231,Lowndes County
Alabama,32.4247,-85.7083,Macon County
Alabama,34.7349,-86.5967,Madison County
Alabama,32.3336,-87.8019,Marengo County
Alabama,34.1088,-87.876,Marion County
Alabama,34.316,-86.2966,Marshall County
Alabama,30.6889,-88.1503,Mobile County
Alabama,31.5179,-87.3568,Monroe County
Alabama,32.3469,-86.2698,Montgomery County
Alabama,34.5189,-86.9302,Morgan County
Alabama,32.5832,-87.3646,Perry County
Alabama,33.2854,-88.0779,Pickens County
Alabama,31.785,-85.9415,Pike County
Alabama,33.2459,-85.4159,Randolph County
Alabama,32.4234,-85.0689,Russell County
Alabama,33.6644,-86.3505,St. Clair County
Alabama,33.2825,-86.7323,Shelby County
Alabama,32.5711,-88.2323,Sumter County
Alabama,33.3577,-86.1751,Talladega County
Alabama,32.8599,-85.8644,Tallapoosa County
Alabama,33.2124,-87.5292,Tuscaloosa County
Alabama,33.8277,-87.2538,Walker County
Alabama,31.4192,-88.1862,Washington County
Alabama,32.0004,-87.361,Wilcox County
Alabama,34.1707,-87.4319,Winston County
Arkansas,34.4039,-91.4618,Arkansas County
Arkansas,33.1727,-91.8597,Ashley County
Arkansas,36.3299,-92.3822,Baxter County
Arkansas,36.3335,-94.239,Benton County
Arkansas,36.2599,-93.096,Boone County
Arkansas,33.5705,-92.1005,Bradley County
Arkansas,33.5877,-92.4909,Calhoun County
Arkansas,36.3681,-93.5599,Carroll County
Arkansas,33.3314,-91.3296,Chicot County
Arkansas,34.0822,-93.1197,Clark County
Arkansas,36.3696,-90.3848,Clay County
Arkansas,35.5141,-92.036,Cleburne County
Arkansas,33.9082,-92.1529,Cleveland County
Arkansas,33.2605,-93.2455,Columbia County
Arkansas,35.2076,-92.7093,Conway County
Arkansas,35.8352,-90.6601,Craighead County
Arkansas,35.4939,-94.2789,Crawford County
Arkansas,35.1784,-90.2281,Crittenden County
Arkansas,35.259,-90.7675,Cross County
Arkansas,33.8707,-92.5306,Dallas County
Arkansas,33.7735,-91.4125,Desha County
Arkansas,33.6281,-91.7747,Drew County
Arkansas,35.1041,-92.4004,Faulkner County
Arkansas,35.4466,-93.8854,Franklin County
Arkansas,36.3851,-91.7614,Fulton County
Arkansas,34.5074,-93.078,Garland County
Arkansas,34.3072,-92.417,Grant County
Arkansas,36.0781,-90.5209,Greene County
Arkansas,33.698,-93.6251,Hempstead County
Arkansas,34.3525,-92.8765,Hot Spring County
Arkansas,33.98,-93.9124,Howard County
Arkansas,35.7478,-91.6094,Independence County
Arkansas,36.1231,-91.8998,Izard County
