Longitude,Latitude,Date,CMAQ_O3
-106.74089,25.05247,2005-05-22,39.6743
-106.75336,25.15736,2005-05-22,40.1222
-106.76586,25.2623,2005-05-22,40.3041
-106.7784,25.36728,2005-05-22,43.6066
-106.79097,25.4723,2005-05-22,48.055
-106.80357,25.57737,2005-05-22,49.9032
-106.8162,25.68247,2005-05-22,51.0766
-106.82887,25.78761,2005-05-22,51.5161
-106.84157,25.8928,2005-05-22,51.9387
-106.85429,25.99802,2005-05-22,53.0206
-106.86706,26.10328,2005-05-22,53.7979
-106.87986,26.20859,2005-05-22,54.248
-106.89268,26.31393,2005-05-22,55.1004
-106.90555,26.41931,2005-05-22,54.6714
-106.91844,26.52473,2005-05-22,54.4405
-106.93137,26.63019,2005-05-22,54.7124
-106.94434,26.73568,2005-05-22,54.8515
-106.95734,26.84122,2005-05-22,54.5196
-106.97037,26.94679,2005-05-22,54.4324
-106.98343,27.05239,2005-05-22,54.379
-106.99653,27.15804,2005-05-22,54.145
-107.00967,27.26372,2005-05-22,54.2408
-107.02283,27.36944,2005-05-22,54.4969
-107.03603,27.47519,2005-05-22,54.6056
-107.04927,27.58098,2005-05-22,54.6214
-107.06254,27.6868,2005-05-22,55.1779
-107.07585,27.79266,2005-05-22,55.4634
-107.08919,27.89855,2005-05-22,55.4174
-107.10257,28.00448,2005-05-22,55.6715
-107.11598,28.11044,2005-05-22,55.993
-107.12943,28.21644,2005-05-22,56.3136
-107.14291,28.32247,2005-05-22,56.6311
-107.15643,28.42853,2005-05-22,56.9075
-107.16998,28.53462,2005-05-22,56.3034
-107.18358,28.64075,2005-05-22,55.7929
-107.1972,28.74691,2005-05-22,55.4063
-107.21087,28.8531,2005-05-22,54.9488
-107.22457,28.95932,2005-05-22,53.7136
-107.2383,29.06557,2005-05-22,54.0025
-107.25208,29.17186,2005-05-22,53.7654
-107.26589,29.27817,2005-05-22,52.8613
-107.27974,29.38451,2005-05-22,52.2056
-107.29362,29.49089,2005-05-22,52.3325
-107.30755,29.59729,2005-05-22,52.9695
-107.32151,29.70373,2005-05-22,53.8933
-107.3355,29.81019,2005-05-22,54.6319
-107.34954,29.91668,2005-05-22,55.1672
-107.36362,30.0232,2005-05-22,55.7763
-107.37773,30.12974,2005-05-22,56.3326
-107.39188,30.23632,2005-05-22,57.1634
-107.40607,30.34292,2005-05-22,58.1345
-107.4203,30.44954,2005-05-22,58.9494
-107.43456,30.5562,2005-05-22,59.4204
-107.44887,30.66288,2005-05-22,59.6805
-107.46321,30.76959,2005-05-22,59.909
-107.47759,30.87632,2005-05-22,59.9176
-107.49202,30.98308,2005-05-22,60.0481
-107.50648,31.08986,2005-05-22,60.1673
-107.52098,31.19667,2005-05-22,60.0193
-107.53552,31.3035,2005-05-22,59.8559
-107.5501,31.41035,2005-05-22,59.5871
-107.56473,31.51723,2005-05-22,59.3559
-107.57939,31.62413,2005-05-22,58.9202
-107.59409,31.73106,2005-05-22,58.7792
-107.60884,31.838,2005-05-22,58.8372
-107.62363,31.94497,2005-05-22,58.7318
-107.63845,32.05196,2005-05-22,58.533
-107.65332,32.15898,2005-05-22,58.5715
-107.66823,32.26601,2005-05-22,58.4318
-107.68317,32.37306,2005-05-22,57.9648
-107.69817,32.48014,2005-05-22,58.1137
-107.7132,32.58723,2005-05-22,58.0415
-107.72828,32.69435,2005-05-22,57.776
-107.7434,32.80148,2005-05-22,57.6994
-107.75856,32.90863,2005-05-22,57.5321
-107.77377,33.01581,2005-05-22,56.892
-107.78901,33.123,2005-05-22,56.9276
-107.8043,33.23021,2005-05-22,56.7977
-107.81963,33.33743,2005-05-22,56.2398
-107.83501,33.44468,2005-05-22,56.2464
-107.85043,33.55193,2005-05-22,56.1159
-107.86589,33.65921,2005-05-22,55.7667
-107.8814,33.7665,2005-05-22,55.7195
-107.89695,33.87381,2005-05-22,55.4065
-107.91254,33.98114,2005-05-22,55.3301
-107.92818,34.08847,2005-05-22,55.2738
-107.94387,34.19583,2005-05-22,55.5699
-107.9596,34.3032,2005-05-22,56.3437
-107.97537,34.41058,2005-05-22,56.1699
-107.9912,34.51797,2005-05-22,56.1175
-108.00706,34.62538,2005-05-22,55.9729
-108.02297,34.73281,2005-05-22,55.9171
-108.03893,34.84024,2005-05-22,55.5303
-108.05493,34.94769,2005-05-22,53.7704
-108.07098,35.05515,2005-05-22,53.7897
-108.08707,35.16262,2005-05-22,53.6099
-108.10322,35.2701,2005-05-22,53.4867
-108.11941,35.37759,2005-05-22,54.1521
-108.13564,35.48509,2005-05-22,53.4596
-108.15193,35.59261,2005-05-22,53.9632
-108.16826,35.70013,2005-05-22,54.0055
-108.18464,35.80766,2005-05-22,54.001
-108.20107,35.9152,2005-05-22,54.7019
-108.21754,36.02275,2005-05-22,54.975
-108.23406,36.13031,2005-05-22,55.3454
-108.25063,36.23787,2005-05-22,58.0411
-108.26725,36.34544,2005-05-22,58.2623
-108.28392,36.45302,2005-05-22,59.8724
-108.30064,36.56061,2005-05-22,65.1961
-108.31741,36.6682,2005-05-22,65.0993
-108.33423,36.7758,2005-05-22,65.0961
-108.35109,36.8834,2005-05-22,60.4191
-108.36801,36.99101,2005-05-22,59.1173
-108.38498,37.09863,2005-05-22,58.1715
-108.40199,37.20624,2005-05-22,55.108
-108.41906,37.31387,2005-05-22,54.202
-108.43618,37.42149,2005-05-22,54.1017
-108.45335,37.52912,2005-05-22,53.6751
-108.47057,37.63675,2005-05-22,53.8239
-108.48785,37.74438,2005-05-22,53.789
-108.50517,37.85202,2005-05-22,54.6355
-108.52254,37.95966,2005-05-22,54.8787
-108.53998,38.0673,2005-05-22,54.8599
-108.55746,38.17494,2005-05-22,55.7334
-108.575,38.28258,2005-05-22,56.9251
-108.59258,38.39022,2005-05-22,56.3083
-108.61022,38.49786,2005-05-22,57.5169
-108.62791,38.6055,2005-05-22,57.6863
-108.64567,38.71314,2005-05-22,57.6341
-108.66347,38.82078,2005-05-22,58.793
-108.68132,38.92841,2005-05-22,59.0251
-108.69923,39.03605,2005-05-22,59.2865
-108.7172,39.14368,2005-05-22,59.6468
-108.73522,39.2513,2005-05-22,58.7706
-108.7533,39.35893,2005-05-22,58.319
-108.77142,39.46655,2005-05-22,57.9365
-108.78961,39.57417,2005-05-22,58.0264
-108.80785,39.68178,2005-05-22,58.2542
-108.82616,39.78939,2005-05-22,57.7897
-108.84451,39.89699,2005-05-22,57.1232
-108.86292,40.00459,2005-05-22,57.2751
-108.88139,40.11217,2005-05-22,58.8094
-108.89992,40.21976,2005-05-22,59.1602
-108.9185,40.32734,2005-05-22,59.1073
-108.93714,40.43491,2005-05-22,56.9748
-108.95584,40.54247,2005-05-22,56.5182
-108.9746,40.65002,2005-05-22,56.3487
-108.99342,40.75756,2005-05-22,56.1517
-109.01229,40.8651,2005-05-22,56.4664
-109.03123,40.97263,2005-05-22,56.637
-109.05022,41.08015,2005-05-22,56.3909
-109.06927,41.18765,2005-05-22,56.1964
-109.08839,41.29515,2005-05-22,56.3923
-109.10757,41.40263,2005-05-22,58.7745
-109.1268,41.51011,2005-05-22,58.7811
-109.1461,41.61757,2005-05-22,58.7386
-109.16545,41.72502,2005-05-22,59.4891
-109.18487,41.83246,2005-05-22,59.5357
-109.20435,41.93988,2005-05-22,59.3184
-109.22389,42.04729,2005-05-22,56.3452
-109.2435,42.15469,2005-05-22,56.2717
-109.26316,42.26208,2005-05-22,56.2218
-109.28289,42.36945,2005-05-22,55.6988
-109.30269,42.4768,2005-05-22,56.2521
-109.32254,42.58414,2005-05-22,57.269
-109.34246,42.69146,2005-05-22,58.9577
-109.36245,42.79876,2005-05-22,59.6059
-109.3825,42.90606,2005-05-22,59.0347
-109.40261,43.01333,2005-05-22,57.6392
-109.42279,43.12058,2005-05-22,56.7791
