site,poc,date,lat,lon,ozone
10270001,1,"2005-05-22",33.281,-85.802,50.25
10331002,1,"2005-05-22",34.761,-87.651,55.88
10510001,1,"2005-05-22",32.498,-86.137,51.63
10550011,1,"2005-05-22",33.904,-86.054,57.38
10690004,1,"2005-05-22",31.19,-85.423,56.88
10730023,1,"2005-05-22",33.553,-86.815,55.13
10731003,1,"2005-05-22",33.486,-86.915,45.37
10731005,1,"2005-05-22",33.331,-87.004,56.25
10731009,1,"2005-05-22",33.46,-87.306,48.25
10731010,1,"2005-05-22",33.545,-86.549,59.75
10732006,1,"2005-05-22",33.386,-86.817,56.75
10735002,1,"2005-05-22",33.705,-86.669,52.13
10735003,1,"2005-05-22",33.802,-86.942,50.75
10736002,1,"2005-05-22",33.578,-86.774,51.87
10790002,1,"2005-05-22",34.343,-87.34,49.25
10890014,1,"2005-05-22",34.691,-86.583,66.38
10970003,1,"2005-05-22",30.77,-88.088,66.63
10972005,1,"2005-05-22",30.474,-88.141,53.38
11011002,1,"2005-05-22",32.407,-86.256,57.13
11030011,1,"2005-05-22",34.519,-86.977,56.25
11130002,1,"2005-05-22",32.468,-85.084,48.5
11170004,1,"2005-05-22",33.317,-86.825,53.63
11190002,1,"2005-05-22",32.364,-88.202,45.25
11210003,1,"2005-05-22",33.498,-86.123,49.38
11250010,1,"2005-05-22",33.09,-87.46,53.5
50350005,1,"2005-05-22",35.197,-90.191,72.5
50350006,1,"2005-05-22",35.334,-90.246,70.13
50350007,1,"2005-05-22",35.278,-90.451,73.5
51010002,1,"2005-05-22",35.833,-93.219,54.14
51130003,1,"2005-05-22",34.454,-94.143,65.57
51190007,1,"2005-05-22",34.756,-92.276,74.62
51191002,1,"2005-05-22",34.831,-92.259,68.88
51191005,1,"2005-05-22",34.676,-92.337,62.38
90010017,1,"2005-05-22",41.004,-73.585,38.25
90011123,1,"2005-05-22",41.401,-73.445,24.38
90013007,1,"2005-05-22",41.152,-73.104,31.38
90019003,1,"2005-05-22",41.119,-73.337,27
90031003,1,"2005-05-22",41.784,-72.63,28.25
90050005,1,"2005-05-22",41.82,-73.296,28.88
90070007,1,"2005-05-22",41.552,-72.631,25.38
90090027,1,"2005-05-22",41.301,-72.903,20.13
90093002,1,"2005-05-22",41.258,-72.551,31.13
90110008,1,"2005-05-22",41.315,-72.063,34.13
90131001,1,"2005-05-22",41.976,-72.387,31.13
100010002,1,"2005-05-22",38.985,-75.556,46.25
100031007,1,"2005-05-22",39.551,-75.731,40.25
100031010,1,"2005-05-22",39.817,-75.564,36.75
100031013,1,"2005-05-22",39.774,-75.496,35.75
100051002,1,"2005-05-22",38.644,-75.613,52.62
100051003,1,"2005-05-22",38.779,-75.163,43.13
110010025,1,"2005-05-22",38.975,-77.023,46.75
110010041,1,"2005-05-22",38.897,-76.953,37.75
110010043,1,"2005-05-22",38.919,-77.012,49.5
120010025,1,"2005-05-22",29.684,-82.491,57.13
120013011,1,"2005-05-22",29.547,-82.297,54.63
120030002,1,"2005-05-22",30.198,-82.445,49.75
120050006,1,"2005-05-22",30.131,-85.732,54.5
120090007,1,"2005-05-22",28.054,-80.629,51.38
120094001,1,"2005-05-22",28.311,-80.616,53.25
120110031,1,"2005-05-22",26.272,-80.295,46.5
120112003,1,"2005-05-22",26.29,-80.097,46
120118002,1,"2005-05-22",26.087,-80.111,47.25
120210004,1,"2005-05-22",26.27,-81.711,42.63
120230002,1,"2005-05-22",30.178,-82.619,55.5
120310077,1,"2005-05-22",30.478,-81.588,52.38
120310100,1,"2005-05-22",30.261,-81.454,54.25
120330004,1,"2005-05-22",30.525,-87.204,58.88
120330018,1,"2005-05-22",30.368,-87.271,52.63
120330024,1,"2005-05-22",30.399,-87.276,51.88
120550003,1,"2005-05-22",27.189,-81.341,54.5
120570081,1,"2005-05-22",27.74,-82.465,58.38
120570110,1,"2005-05-22",27.781,-82.162,60
120571035,1,"2005-05-22",27.928,-82.455,57.88
120571065,1,"2005-05-22",27.892,-82.539,65.5
120573002,1,"2005-05-22",27.966,-82.23,55.88
120574004,1,"2005-05-22",27.993,-82.126,55.25
120590004,1,"2005-05-22",30.847,-85.604,51.5
120690002,1,"2005-05-22",28.525,-81.723,55.13
120712002,1,"2005-05-22",26.548,-81.98,51.75
120713002,1,"2005-05-22",26.449,-81.939,54.38
120730012,1,"2005-05-22",30.44,-84.348,53.38
120730013,1,"2005-05-22",30.484,-84.199,52.5
120813002,1,"2005-05-22",27.633,-82.546,56.88
120814012,1,"2005-05-22",27.481,-82.619,59.5
120814013,1,"2005-05-22",27.449,-82.522,56.5
120830003,1,"2005-05-22",29.17,-82.101,54.13
120830004,1,"2005-05-22",29.192,-82.173,55.13
120860027,1,"2005-05-22",25.733,-80.162,64.75
120860029,1,"2005-05-22",25.586,-80.327,43.75
120950008,1,"2005-05-22",28.454,-81.381,54.25
120952002,1,"2005-05-22",28.599,-81.363,53
120972002,1,"2005-05-22",28.347,-81.637,54.63
120990020,1,"2005-05-22",26.591,-80.061,23.88
121010005,1,"2005-05-22",28.332,-82.306,57.75
121012001,1,"2005-05-22",28.195,-82.758,53.5
121030004,1,"2005-05-22",27.946,-82.732,51
121030018,1,"2005-05-22",27.786,-82.74,52.25
121035002,1,"2005-05-22",28.09,-82.701,53.63
121056005,1,"2005-05-22",27.939,-82,59
121056006,1,"2005-05-22",28.029,-81.972,52.37
121111002,1,"2005-05-22",27.449,-80.408,32.25
121130015,1,"2005-05-22",30.394,-87.008,52
121151005,1,"2005-05-22",27.307,-82.571,59.5
121151006,1,"2005-05-22",27.35,-82.48,59.13
121152002,1,"2005-05-22",27.089,-82.363,59.75
121171002,1,"2005-05-22",28.746,-81.31,52.5
121272001,1,"2005-05-22",29.109,-80.994,50.38
121275002,1,"2005-05-22",29.207,-81.053,48.13
121290001,1,"2005-05-22",30.093,-84.162,48.5
130210012,1,"2005-05-22",32.803,-83.545,56.88
130210013,1,"2005-05-22",32.828,-83.789,50.25
130510021,1,"2005-05-22",32.068,-81.049,53.63
130550001,1,"2005-05-22",34.474,-85.408,51.63
130590002,1,"2005-05-22",33.924,-83.357,56.87
130670003,1,"2005-05-22",34.014,-84.607,51.75
130730001,1,"2005-05-22",33.582,-82.131,54.13
130770002,1,"2005-05-22",33.404,-84.746,47.25
130850001,2,"2005-05-22",34.378,-84.056,52.25
130890002,1,"2005-05-22",33.688,-84.29,48.13
130893001,1,"2005-05-22",33.848,-84.214,55
130970004,1,"2005-05-22",33.743,-84.779,56.5
131130001,1,"2005-05-22",33.456,-84.42,47.63
131210055,1,"2005-05-22",33.721,-84.358,53.63
131270006,1,"2005-05-22",31.169,-81.496,47
131350002,1,"2005-05-22",33.964,-84.066,58.38
131510002,1,"2005-05-22",33.435,-84.162,47.62
132130003,1,"2005-05-22",34.785,-84.627,53.75
132150008,1,"2005-05-22",32.521,-84.944,54.87
132151003,1,"2005-05-22",32.539,-84.843,51.75
132230003,1,"2005-05-22",33.928,-85.045,51.75
132450091,1,"2005-05-22",33.433,-82.022,54.75
132470001,1,"2005-05-22",33.586,-84.067,46.88
132611001,2,"2005-05-22",31.953,-84.079,52.63
170010006,1,"2005-05-22",39.933,-91.404,52.88
170190004,1,"2005-05-22",40.124,-88.229,56.38
170230001,1,"2005-05-22",39.211,-87.668,51.25
